Reviewer Name,Review Date,Review Content
mohdzulkhairiyahaya,30/12/2023 22:31,"Very fast delivery from the seller and courier service. Item received in good condition.
The shoes arrived as per ordered size and fits perfectly."
hmbakehouse20,16/12/2023 9:37,"Good product.Fast delivery. reccommended seller. I love it.
sory no photo or video. but everythings is good"
razimianan,7/1/2024 6:19,"Maaf tak ada gambar real, beli untuk anak
Amat selesa ringan bila bawa untuk jogging kasut design cantik suka sangat"
a*****4,14/1/2024 18:14,Fast delivery 🚚 packing boxes also ok 🙂 already give mama forgot take photos.
teckwong,23/11/2023 18:58,Cantik kasut ni...ringan...pakai pun selesa...x try bawak johging lagi...servis dr seller pun pantas...terbaik lah
youshengfoong,22/11/2022 8:49,shoes are comfortable. fits description as stated with fast delivery within 2-3 working days
a*****a,1/10/2023 16:19,Quality kasut tak berapa kemas..nampak gam2 kt tapak kasut tu 😂 ni second purchase since first purchase parcel reported missing kt jnt 🙄🙄🙄
lilili22,14/11/2023 13:08,Packaging is bad. Box is badly shaped. Shoes yet to try them.
h*****p,6/2/2024 23:51,"Comfortable, well fit, reasonable price, fast delivery to Sabah."
a*****x,31/1/2024 11:09,"kasut cantik berbaloi beli , simple minimalist 👍🏻. 
Kasut perlu amik half size bigger sbb terasa padat sikit. mungkin belum kembang lagi"
cediloco,30/1/2024 22:33,For running rasa sgt ok. Not expecting tahan lama la. Nama lg kasut running kn
y*****y,1/1/2024 11:12,My size is actually 7.5 but it's unavailable so I bought size 8. A bit larger but then it's ok bcz I'll wear socks with it. There's a little smudge of the ink tho
i*****d,21/11/2023 20:27,True to size. Comfortable and lightweight also. Nicee nicee☺️🫶🏻
amirulhaf1z,17/12/2023 0:50,Kualiti terbaik . Original guysss . Terima kasih seller .
techguy07,12/1/2023 21:27,"Wanna buy best jogging shoe. This the one.
Perfect and affordable 
Get it for Rm200 with vouchers. 
Tq Puma Malaysia 
I gonna enjoy jogging after this and next target 10 to 15 km. 
Love it 😀"
a*****1,1/12/2023 9:56,Tulis unisex tapi warna rose gold dia tu agak ketara...pada pendapat saya xberapa sesuai utk lelaki emmm...bg kat org umah jelh jwbnya
b*****y,26/10/2023 20:08,Cantik mart... sampai cepat... selesa.. ringan seperti diawangan. Dlm gmbr tk nampak cantik. Bile beli pergh cantik weyh. Beli  ikut saiz kaki korang yg sbenarnya.
joogiap,21/12/2023 19:15,"Hi PUMA shop, fyi.,I had received the above parcel in good condition. Thanks"
norazmikojack,5/1/2024 16:49,kotak je hancur masalah kurier suka baling2 barang
h*****4,5/1/2024 23:52,okay good. good grip. will repeat other product. tq seller.
nadiaalias,30/11/2023 21:14,Sukkaaa 💯. Thank uuuu. I got good price with discounts and points.
f*****7,25/8/2023 1:05,Kasut cantik sangat. Memang murah dari kedai sebab mmg original Puma.
k*****5,16/12/2023 10:44,Great looking shoes. I love them.
turarashop,10/1/2024 14:45,Seperb service...kasut cantik ..pos laju gilerr...selesa...puas hati...tqvm
adamashraf93,29/12/2023 19:16,Jualan murah penghantaran pun laju dan padu
lendrw,14/5/2023 18:28,"Terbaik la saler.. 
Product sgt memuaskan"
eizamninja75,14/12/2023 21:32,Alhamdulillah. Item received safely with nice packaging. Good quality.
nabilahuss97,29/11/2023 16:18,Nice shoes i love it
emzack80,19/8/2023 12:43,Baru try tadi..bagus dan selesa..saiz sepadan..cantik dan kemas..
a*****i,20/12/2023 18:23,Really good running shoes. Feels like walking on pillows.
arifmeow343,13/1/2024 20:42,"umm , . i like it , . comfy , very light , rose gold ♡ , . . meow !
it's original puma , what else to say ? ?
i wear this at work tho (: not actually running XD"
afienaufal,19/3/2023 11:50,"Mantap, ringan nanti baru test mcm mana dia punya pergi..."
